id,seller_name,category_main,category_sub,price_ori,price_actual,item_rating,total_rating,total_sold,favorite,discount_pct,price_band,rating_bucket,sales_per_rating
58c0021d4e4960d12e1fd9f9df38f93a,mebraties,Men Clothes,Pants,19.9,7.34,4.8,1400.0,1400.0,529.0,63.11557788944724,<RM20,1000-5000,1.0
eb61b9f21ca683a2cc88a8451fc023d7,dudu.inmalay,Fashion Accessories,Hair Accessories,1.5,0.88,4.9,347.0,347.0,204.0,41.333333333333336,<RM20,30-1000,1.0
a47da760d4b01df55478047273ff9582,russelltaylors.os,Home Appliances,Small Kitchen Appliances,599.99,239.99,4.9,7100.0,7100.0,14700.0,60.001000016666936,RM100-300,5000-10000,1.0
d1b124a6c133e9472a63c1d7f716c2f2,homeaudio,Home Appliances,Televisions,3599.0,2499.0,5.0,118.0,118.0,372.0,30.564045568213395,RM300+,30-1000,1.0
a08c05e04e9d15a09b10a5971a91ff7a,extremeracing,Automotive,Motorcycles & Parts,0.28,0.28,5.0,22.0,22.0,11.0,0.0,<RM20,0-30,1.0
3b8521d50d2a7a30c808b09cb4d2e282,emily7627,"Games, Books & Hobbies",Games,0.72,0.36,5.0,39.0,39.0,19.0,50.0,<RM20,30-1000,1.0
f934e296b74836388f20d8b313e53759,starhomediy,Home Appliances,TV Accessories,16.5,16.5,4.9,2500.0,2500.0,589.0,0.0,<RM20,1000-5000,1.0
60d1a5524ad438afa2daf6bad734b2ae,lifestylemomoko,Men's Bags & Wallets,Men's Backpacks,8.0,7.89,4.7,162.0,162.0,85.0,1.375000000000004,<RM20,30-1000,1.0
71f55462bb7f6cf7b591a9d8f5222b29,entrusolofficialstore,Groceries & Pets,Cereals,64.3,64.3,4.9,133.0,133.0,158.0,0.0,RM50-100,30-1000,1.0
3abd8bd795b3d7f604bc31c2c56401e9,ecobb.os,Women Clothes,Maternity Wear,29.9,19.9,4.9,1400.0,1400.0,1000.0,33.44481605351171,<RM20,1000-5000,1.0
bdadc4a8bd0ae2cd6e9918c49cf60d84,lotuss.fbs,Groceries & Pets,Milk & Chocolate Drink,145.0,120.0,4.8,166.0,166.0,37.0,17.24137931034483,RM100-300,30-1000,1.0
a8873e405250af1c967e9be0be95284a,mylovelybaby,Baby & Toys,Baby Gear,1099.0,769.0,4.9,166.0,166.0,1200.0,30.02729754322111,RM300+,30-1000,1.0
6601a0396fde2c80bcf5a7efbe29851c,mystylishstore,Cameras & Drones,Security Cameras & Systems,0.7,0.59,4.9,752.0,752.0,164.0,15.714285714285714,<RM20,30-1000,1.0
02420c7250bbab647ec6ce69f873b71d,mslace33,Home Appliances,Irons & Garment Steamers,7.0,7.0,5.0,1.0,1.0,,0.0,<RM20,0-30,1.0
9d7ea8da5b8bc91f4fe4f0aac2f3ef29,bungkusan888,Home & Living,Kitchen & Dining,0.14,0.1,5.0,2300.0,2300.0,1100.0,28.571428571428577,<RM20,1000-5000,1.0
7ff3522dfaa893c44c45b9792e86ccd0,luckyeverday,Home Appliances,Home Entertainment,21.9,21.9,5.0,5000.0,5000.0,1400.0,0.0,RM20-50,5000-10000,1.0
4e998bf175e3a24d270dd5b4d1e5823a,bookme7,Baby & Toys,Baby Clothing,7.9,0.99,4.9,630.0,630.0,419.0,87.46835443037975,<RM20,30-1000,1.0
c36ed02419cddbe1f2d30b6df14e3c9e,xiaomingok.my,Watches,Watch Accessories,54.97,54.97,4.8,5.0,5.0,10.0,0.0,RM50-100,0-30,1.0
303fe36d13490151254b99f815855934,c20.properties,Computer & Accessories,Others,500.0,175.0,5.0,338.0,338.0,513.0,65.0,RM100-300,30-1000,1.0
054f73759bc8efd2d26740808b4d538c,boming2019.my,Watches,Men's Watches,23.98,11.99,4.6,659.0,659.0,1300.0,50.0,<RM20,30-1000,1.0
75cfef8de3e0d58dbf897b5391cef8c1,firdausfidut,Health & Beauty,Fragrances,0.5,0.5,4.8,2200.0,2200.0,4100.0,0.0,<RM20,1000-5000,1.0
1e76a010dd033fade559c6cf80a93647,th_fashion,Men Clothes,Sports Wear,39.9,7.9,4.9,1400.0,1400.0,418.0,80.20050125313284,<RM20,1000-5000,1.0
145b44288b131f52f212f1596e015131,xibaibai.os,Groceries & Pets,Household Supplies,9999.0,9999.0,4.9,1800.0,1800.0,35.0,0.0,RM300+,1000-5000,1.0
47a757183f30da9adfc5019090e0ea79,persona93,Computer & Accessories,Components,19.99,2.49,4.9,854.0,854.0,110.0,87.54377188594297,<RM20,30-1000,1.0
4537a58b86e49f126abbed0e7a014686,88giftshop,"Games, Books & Hobbies",Collectibles & Memorabilia,79.0,8.8,5.0,2000.0,2000.0,706.0,88.8607594936709,<RM20,1000-5000,1.0
d7441df4bd738dae83ef4e9dd4414cd1,shimadassunta,Men Clothes,Others,220.0,220.0,5.0,6.0,6.0,11.0,0.0,RM100-300,0-30,1.0
d0db276b11c976f4c5f3475a6cf61e52,nazri9666,Men Clothes,Plus Size,5.5,5.23,4.7,527.0,527.0,229.0,4.909090909090901,<RM20,30-1000,1.0
c60a59d632eb850e7a787a94be0daf07,92shop,Mobile & Accessories,Selfie Accessories,3.9,0.58,4.9,166.0,166.0,61.0,85.12820512820512,<RM20,30-1000,1.0
e7d8554ca59d26e1f64c85b90a8b184f,mr.right__,Men's Bags & Wallets,Laptop Bags,25.0,18.9,4.9,477.0,477.0,411.0,24.400000000000006,<RM20,30-1000,1.0
7a5d50acf0df60e5ef4bf8ba87450d18,klozzet,Women Clothes,Outerwear,79.0,79.0,4.9,23.0,23.0,102.0,0.0,RM50-100,0-30,1.0
bfc2f879c8c41b3a79e8e306d11867c6,hhhmotor,Cameras & Drones,Car Cameras,2.0,1.8,4.9,116.0,116.0,64.0,9.999999999999998,<RM20,30-1000,1.0
90934ec0295ddf36c98e54ba34cbe3bd,rightway.os,Men Clothes,T-shirts & Singlets,1.0,1.0,4.9,61.0,61.0,160.0,0.0,<RM20,30-1000,1.0
af260c170b8d1b851589211d4f0c0701,gedungibu,Baby & Toys,Nursery,2.0,2.0,4.7,750.0,750.0,419.0,0.0,<RM20,30-1000,1.0
f391d59f265cee07c8df928d61879296,eqplusmkt,Home & Living,Bedding,12.9,7.9,5.0,15200.0,15200.0,16800.0,38.75968992248062,<RM20,10000+,1.0
32700aae14a7579d36e069deae3cd932,aatiqahmohamad,Baby & Toys,Baby Clothing,1.0,1.0,4.9,144.0,144.0,6.0,0.0,<RM20,30-1000,1.0
ef62e6cbeedbdc158415b152a17cc1ad,spraygadget,Mobile & Accessories,Mobile Phones,610.0,610.0,5.0,68.0,68.0,232.0,0.0,RM300+,30-1000,1.0
0c3f59989a2d7200991c6973041c44f9,i_hijab,Muslim Fashion,Hijab,5.5,5.5,4.9,39000.0,39000.0,46100.0,0.0,<RM20,10000+,1.0
0ddd55727ba8b385db7d7c2da0ab3ca4,coros.os,Mobile & Accessories,Wearables,899.0,899.0,4.9,927.0,927.0,1700.0,0.0,RM300+,30-1000,1.0
8f17551dd46f2534383cf87c40ff9d84,essential_oil_gadget,Health & Beauty,Foot Care,0.1,0.1,4.9,55.0,55.0,20.0,0.0,<RM20,30-1000,1.0
654702273216478f948c26d180fd573b,rebultkeyboards,Computer & Accessories,Computer Accessories,2.3,2.3,4.9,33.0,33.0,25.0,0.0,<RM20,30-1000,1.0
6ef32ccd00159c1992fdb205291bca03,huawei_os,Mobile & Accessories,Tablets,999.0,749.0,4.9,216.0,216.0,1200.0,25.025025025025027,RM300+,30-1000,1.0
df208a9e8c60afec5d179ef4edc15a20,nazatul170417,Men Clothes,Pants,3.0,3.0,4.9,11400.0,11400.0,8400.0,0.0,<RM20,10000+,1.0
cbe6c91a1da19524366b5998d61a6fe4,happyparcel,Baby & Toys,Baby & Toddler Play,25.0,6.98,4.9,2200.0,2200.0,3300.0,72.08,<RM20,1000-5000,1.0
c8496b91f90425e6ea931e8b4ed8ce0b,myrkottofficial,Baby & Toys,Girls Fashion,47.9,35.0,4.9,836.0,836.0,508.0,26.93110647181628,RM20-50,30-1000,1.0
91b360018ce0eb5e4b7398e3eeb5630a,jkuniqueconceptstore,Fashion Accessories,Eyewear,39.9,23.94,4.9,657.0,657.0,981.0,40.0,RM20-50,30-1000,1.0
1bbec0610c5cce3ba1ae8d1568e90145,otomate88,Automotive,Car Accessories,6.9,2.35,4.9,24900.0,24900.0,31000.0,65.94202898550725,<RM20,10000+,1.0
2d0b1416642d3d6f3b941ebfd6b24ae3,lenghup_equipment,Home & Living,Home Improvement,0.11,0.11,4.9,2100.0,2100.0,496.0,0.0,<RM20,1000-5000,1.0
2527c623a87c88ec41ac950dfb0cd23c,skmallonline,Men's Bags & Wallets,Waist Bags,15.0,4.5,4.9,3600.0,3600.0,1600.0,70.0,<RM20,1000-5000,1.0
5b74e90bc440ea22856cf5433b4a3686,suhardiey,Fashion Accessories,Hats & Caps,1.0,1.0,5.0,188.0,188.0,188.0,0.0,<RM20,30-1000,1.0
5d1d5449d028937e8bbe8d1650f03ef2,ly1976.my,Women Clothes,Tops,53.25,19.71,4.8,1200.0,1200.0,9600.0,62.985915492957744,<RM20,1000-5000,1.0
77dc49d764b3c33633e52d2ce4d8c999,jdex.os,Sports & Outdoor,Women's Sports Shoes,119.8,54.9,4.9,369.0,369.0,453.0,54.173622704507515,RM50-100,30-1000,1.0
17db055f48c989efa232549a2164c63d,drum.os,Men Clothes,Outerwear,69.9,69.9,5.0,9.0,9.0,54.0,0.0,RM50-100,0-30,1.0
2cde71de0a5a4e39e9e6067ba34c8b6a,rightway.os,Men Clothes,Tops,40.0,15.0,4.9,3600.0,3600.0,1600.0,62.5,<RM20,1000-5000,1.0
529427ddbbfff729aa8ebe39a042ccfe,ayzashoppe,Travel & Luggage,Luggage,2.5,2.5,4.9,46.0,46.0,28.0,0.0,<RM20,30-1000,1.0
d02bbedd3c650f9cabf5468d627afc54,moredream2u,Men Clothes,T-shirts & Singlets,1.0,1.0,4.9,141.0,141.0,579.0,0.0,<RM20,30-1000,1.0
7ff07c21a22a445d81c17afcd074c2f4,patsys_house,Men Clothes,Traditional Wear,300.0,199.99,4.9,12.0,12.0,57.0,33.336666666666666,RM100-300,0-30,1.0
6f3724021033cb2538f965494cd40587,fairy_bloom,Muslim Fashion,Inner,5.0,0.88,4.9,247.0,247.0,26.0,82.4,<RM20,30-1000,1.0
f1df4998e9e83ada5145d74257ce7f12,ccautoparts,Automotive,Car Replacement Parts,20.0,0.15,4.9,490.0,490.0,222.0,99.25,<RM20,30-1000,1.0
4738d8396d113fc5a9b899cc9ab5e622,fly.automart,Home & Living,Home Improvement,40.9,29.9,4.8,2400.0,2400.0,2700.0,26.894865525672373,RM20-50,1000-5000,1.0
4c23dc82eb3bb5b10553f40e771dc8e0,angelskin.my,Watches,Men's Watches,25.0,3.19,4.8,7600.0,7600.0,8200.0,87.24,<RM20,5000-10000,1.0
303132728f0e497f5e7ee36894e78044,on9technology,Computer & Accessories,Laptops,165.0,161.7,4.7,54.0,54.0,290.0,2.000000000000007,RM100-300,30-1000,1.0
8a0bd15b5527a35d607ad660139f14f3,lovesunshine.my,Fashion Accessories,Hair Accessories,49.11,9.02,4.9,1100.0,1100.0,4000.0,81.63306862146203,<RM20,1000-5000,1.0
46fe1b9c50e52cf347d360c7e2e7b457,klvinng,Mobile & Accessories,Cases & Covers,0.85,0.85,5.0,57.0,57.0,183.0,0.0,<RM20,30-1000,1.0
9fb1ea217a9394f1437963a3464226ec,homework_central,Computer & Accessories,Network Components,0.72,0.72,4.9,591.0,591.0,72.0,0.0,<RM20,30-1000,1.0
0751afca6e996d16c8bc49b50b89be18,swisspolo.os,Women's Bags,Backpacks,299.9,129.9,4.9,100.0,100.0,645.0,56.68556185395131,RM100-300,30-1000,1.0
4f59c6101188163d1cb35acdb8fdefa2,jianen.my,Women Clothes,Sports & Beachwear,125.0,67.0,4.8,31.0,31.0,368.0,46.400000000000006,RM50-100,30-1000,1.0
571bd6ba7538a2c13c170c799f12a16d,decostation02,Groceries & Pets,Gift Set & Hampers,5.0,5.0,4.8,213.0,213.0,113.0,0.0,<RM20,30-1000,1.0
cd3bfb9af0327682ad530d7b4c8f57ba,kedaiuniformshop,Men Clothes,T-shirts & Singlets,30.0,30.0,4.9,149.0,149.0,32.0,0.0,RM20-50,30-1000,1.0
12f929f357665b8b839e9dc792f3fab2,beautystall.my,Groceries & Pets,Household Supplies,67.9,44.9,5.0,2000.0,2000.0,2100.0,33.873343151693675,RM20-50,1000-5000,1.0
ac3415bfa2de91788835888b4b3d1ed9,sws28.medical,Health & Beauty,OTC Medicine,48.0,48.0,5.0,86.0,86.0,27.0,0.0,RM20-50,30-1000,1.0
4423f15c2af5d215c3695740b48ab965,sri_computers,Computer & Accessories,Storage & Hard Drives,249.0,195.0,4.9,1200.0,1200.0,1300.0,21.686746987951807,RM100-300,1000-5000,1.0
6f438f30bbc5a2fa1efe0fc9d57aba5a,applecrumby.os,Baby & Toys,Diapers & Potties,999.0,999.0,5.0,258.0,258.0,4.0,0.0,RM300+,30-1000,1.0
2c261fcacb073a848600bba15c15a9fe,lovesunshine.my,Mobile & Accessories,Wearables,6.42,1.21,4.7,62.0,62.0,35.0,81.15264797507788,<RM20,30-1000,1.0
d364ec927e8eefa6813c3b3212fac24e,apexellens.my,Mobile & Accessories,Selfie Accessories,100.0,59.98,4.8,30.0,30.0,362.0,40.02,RM50-100,30-1000,1.0
8ab63490d78c1ec01ab490e9355517f9,techbrossales,Groceries & Pets,Bakery,112.0,112.0,5.0,64.0,64.0,5.0,0.0,RM100-300,30-1000,1.0
b285543cec9ee6369109f3531a624e6e,dkmansion,Health & Beauty,Fragrances,0.8,0.4,5.0,10.0,10.0,13.0,50.0,<RM20,0-30,1.0
daee9a0cdf796a003eeb07bcb844bce7,cloudbedding,Home & Living,Bedding,,1.28,4.9,2700.0,2700.0,921.0,0.0,<RM20,1000-5000,1.0
